fund_id,name,asset_type,currency,price_unit,category
GB0031728438:GBP,Standard Life Assurance Asia Pacific Ex Japan Equity S4 Pension Fund,Fund,GBP,pence,Asia Pacific
GB00B3VNFD68:GBP,SL Gold,Gold,GBP,pence,Gold
GB00B7Z71453:GBP,SL China,Fund,GBP,pence,Asia Pacific
GB00B61JR401:GBP,SL JPM Natural Resources,Commodity,GBP,pence,Commodity
GB00B849FB47:GBP,iShares Pacific ex Japan Equity Index Fund (UK) D Acc,Fund,GBP,pence,Asia Pacific
GB00BF0TZK67:GBP,Legal & General Global Infrastructure Index Fund Class L Distribution,Fund,GBP,pence,Infrastructure
LU2092165666:GBP,HSBC Islamic Funds - HSBC Islamic Global Equity Index Fund BC GBP,Fund,GBP,pence,US Equity
GB00B3K5WJ87:GBP,SL Macquarie Global Infrastructure Secs,Fund,GBP,pence,Infrastructure
LU1408526199:GBP,Robeco Capital Growth Funds - Robeco Emerging Stars Equities G GBP,Fund,GBP,pence,Emerging Markets
GB00BL0DTP33:GBP,JPM Emerging Markets ESG Equity Fund C GBP - Net Accumulation,Fund,GBP,pence,Emerging Markets
GB00B0ZGQD71:GBP,ReAssure LG Schroder UK Small Comps 25,Fund,GBP,pence,UK Equity
GB00B2PLJQ03:GBP,Artemis UK Special Situations Fund I Acc,Fund,GBP,pence,UK Equity
GB00B3VGBC62:GBP,L&G PMC North America Equity Index 3 Pen,Fund,GBP,pence,US Equity
GB00B4YKRJ18:GBP,L&G PMC Europe Ex UK Equity Index 3 Pen,Fund,GBP,pence,European
GB00B4ZFV486:GBP,L&G PMC Japan Equity Index 3 Pen,Fund,GBP,pence,Asia Pacific
GB00B4WT1Y33:GBP,L&G PMC Asia Pac ex Japan Dev Eq Idx 3 Pen,Fund,GBP,pence,Asia Pacific
GB00BJH4XW03:GBP,Legal & General Future World ESG Tilted & Optimised UK Index Fund L GBP Acc,Fund,GBP,pence,UK Equity
YF:^GSPC,S&P 500,Index,USD,point,US Equity
YF:^FTSE,FTSE 100,Index,GBP,point,UK Equity
YF:^FTMC,FTSE 250,Index,GBP,point,UK Equity
YF:XU030.IS,BIST 30,Fund,TRY,point,Turkish Equity
YF:^N225,Nikkei 225,Index,USD,point,Asia Pacific
YF:^STOXX50E,Euro Stoxx 50,Index,USD,point,European
YF:^IXIC,NASDAQ Composite,Index,USD,point,US Equity
YF:URTH,MSCI World,Stock/ETF,USD,dollar,Global Equity
YF:EEM,MSCI Emerging Markets,Stock/ETF,USD,dollar,Emerging Markets
YF:VWRL.L,FTSE All World,Stock/ETF,GBP,pence,Global Equity
